variable,iqr_outliers_number,number_of_nonmissing,rule_used,action_performed
Test z Synacthenem (L79_2),3,54,1.5xIQR,flag_only
"PRL 10:00, 10:00 po PEG, 16:00 (PRL10PEG)",3,25,1.5xIQR,flag_only
Anty-TG (O18),3,21,1.5xIQR,flag_only
Bilirubina całkowita (TBIL),3,76,1.5xIQR,flag_only
Morfologia CBC (HGB),3,44,1.5xIQR,flag_only
Kreatynina (KREAT),3,113,1.5xIQR,flag_only
Morfologia CBC (RDW),3,44,1.5xIQR,flag_only
RDW %,3,45,1.5xIQR,flag_only
APTT Czas kaolinowo-kefalinowy (APTTCZ),2,5,1.5xIQR,flag_only
Morfologia CBC (MCHC),2,44,1.5xIQR,flag_only
FSH IU/l,2,45,1.5xIQR,flag_only
"Jonogram (Sód, potas, chlorki) (L_NA)",2,84,1.5xIQR,flag_only
LH 0' 30' 60' (L_LH60),2,15,1.5xIQR,flag_only
Limf 10^3/uL,2,45,1.5xIQR,flag_only
LH 0' 30' 60' (L_LH30),2,15,1.5xIQR,flag_only
MPV fL,2,45,1.5xIQR,flag_only
"PRL 10:00, 10:00 po PEG, 16:00 (PRL10)",2,25,1.5xIQR,flag_only
PLT 10^3/uL,2,45,1.5xIQR,flag_only
Test z Synacthenem (L79_0),2,52,1.5xIQR,flag_only
insulina uU/ml,2,45,1.5xIQR,flag_only
testosteron ng/ml,2,45,1.5xIQR,flag_only
Morfologia CBC (WBC),1,44,1.5xIQR,flag_only
beta HCG (L_HCG),1,21,1.5xIQR,flag_only
glu 0' mg/dl,1,45,1.5xIQR,flag_only
Morfologia CBC (MPV),1,44,1.5xIQR,flag_only
Dobowy rytm tolerancji glukozy (L_G1200),1,7,1.5xIQR,flag_only
Dobowy rytm tolerancji glukozy (L_G1800),1,7,1.5xIQR,flag_only
DHEAS ug/dl,1,45,1.5xIQR,flag_only
Dobowy rytm tolerancji glukozy (L_G1500),1,7,1.5xIQR,flag_only
Dobowy rytm tolerancji glukozy (L_G2400),1,7,1.5xIQR,flag_only
Estradiol (L_ESTRA),1,34,1.5xIQR,flag_only
Hemoglobina glikowana (HBA1C_1),1,23,1.5xIQR,flag_only
Hemoglobina glikowana (HBA1C_2),1,23,1.5xIQR,flag_only
FT3 (FT3),1,6,1.5xIQR,flag_only
Morfologia CBC (PCT),1,44,1.5xIQR,flag_only
"Jonogram (Sód, potas, chlorki) (L_CI)",1,84,1.5xIQR,flag_only
Morfologia CBC (MCV),1,44,1.5xIQR,flag_only
17 OH progesteron (L79),1,212,1.5xIQR,flag_only
Białko C-reaktywne (CRP),1,19,1.5xIQR,flag_only
AMH ng/ml,1,45,1.5xIQR,flag_only
Morfologia CBC (RDWSD),1,44,1.5xIQR,flag_only
Morfologia CBC (MCH),1,44,1.5xIQR,flag_only
Morfologia CBC (PDW),1,44,1.5xIQR,flag_only
Morfologia CBC (RBC),1,44,1.5xIQR,flag_only
SHBG nmol/l,1,45,1.5xIQR,flag_only
P/c przeciw receptorowi TSH (TRAb) (TRAB_2),1,5,1.5xIQR,flag_only
Test Roma (HE4),1,10,1.5xIQR,flag_only
"PRL 10:00, 10:00 po PEG, 16:00 (PRL16)",1,23,1.5xIQR,flag_only
Test Roma (PRMENOP),1,8,1.5xIQR,flag_only
Test z Synacthenem (L79_1),1,54,1.5xIQR,flag_only
WBC 10^3/uL,1,45,1.5xIQR,flag_only
CEA (CEA),0,1,1.5xIQR,flag_only
Dobowy rytm tolerancji glukozy (L_G330),0,7,1.5xIQR,flag_only
Dobowy rytm tolerancji glukozy (L_G700),0,7,1.5xIQR,flag_only
Dokument (NAZWA),0,18,1.5xIQR,flag_only
Estradiol (ESTRA),0,57,1.5xIQR,flag_only
Morfologia CBC (HCT),0,44,1.5xIQR,flag_only
Mocz - badanie ogólne (MPH),0,7,1.5xIQR,flag_only
Mocz - badanie ogólne (MCIEZA),0,7,1.5xIQR,flag_only
Mocz - badanie ogólne (MOSAD),0,0,1.5xIQR,flag_only
