Parameter,category,data_type,detected_unit,exclude_reason,formatting_errors,max,mean,median,merged_from,merged_into,min,n_nonnull,n_total,n_unique,no_variance,notes,only_in_group,original_name,original_unit,outliers_detected,q1,q3,recommended_action,too_few_data,unit_unknown,useful
mcv_fL,MCV,float64,fL,[],False,,,,"['Morfologia CBC (MCV)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCV)']",,,945,1331,189,False,"['Consolidated from: Morfologia CBC (MCV), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCV)']",PCOS,mcv_fL,,False,,,keep,False,False,True
mpv_fL,MPV,float64,fL,[],False,,,,"['MPV fL', 'Morfologia CBC (MPV)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MPV)']",,,990,1331,52,False,"['Consolidated from: MPV fL, Morfologia CBC (MPV), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MPV)']",,mpv_fL,,False,,,keep,False,False,True
pct_percent,MPV,float64,%,[],False,,,,"['Morfologia CBC (PCT)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PCT)']",,,945,1331,35,False,"['Consolidated from: Morfologia CBC (PCT), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PCT)']",PCOS,pct_percent,,False,,,keep,False,False,True
pdw_fL,MPV,float64,fL,[],False,,,,"['Morfologia CBC (PDW)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PDW)']",,,946,1331,98,False,"['Consolidated from: Morfologia CBC (PDW), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PDW)']",PCOS,pdw_fL,,False,,,keep,False,False,True
plcr_percent,MPV,float64,%,[],False,,,,"['Morfologia CBC (PLCR)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLCR)']",,,945,1331,293,False,"['Consolidated from: Morfologia CBC (PLCR), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLCR)']",PCOS,plcr_percent,,False,,,keep,False,False,True
neutrophils_abs_10_3_uL,Neutrophils,float64,10^3/uL,[],False,,,,"['Neu 10^3/uL', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT#)']",,,946,1331,351,False,"['Consolidated from: Neu 10^3/uL, Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT#)']",,neutrophils_abs_10_3_uL,,False,,,keep,False,False,True
platelets_10_3_uL,Platelets,float64,10^3/uL,[],False,,,,"['PLT 10^3/uL', 'Morfologia CBC (PLT)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLT)']",,,990,1331,236,False,"['Consolidated from: PLT 10^3/uL, Morfologia CBC (PLT), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLT)']",,platelets_10_3_uL,,False,,,keep,False,False,True
17ohp_baseline_ng_ml,Progesterone_17OHP,float64,ng/mL,[],False,,,,"['17 - OH progesteron (L79) (17-OHPG)', '17 OH progesteron (L79)']",,,1177,1331,331,False,"['Consolidated from: 17 - OH progesteron (L79) (17-OHPG), 17 OH progesteron (L79)']",PCOS,17ohp_baseline_ng_ml,,False,,,keep,False,False,True
prolactin_ng_ml,Prolactin,float64,ng/mL,[],False,,,,"['PRL godz. 10:00 (PRL10)', 'PRL ng/ml']",,,1210,1331,602,False,"['Consolidated from: PRL godz. 10:00 (PRL10), PRL ng/ml']",,prolactin_ng_ml,,False,,,keep,False,False,True
rbc_10_6_uL,RBC,float64,10^6/uL,[],False,,,,"['Morfologia CBC (RBC)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RBC)']",,,945,1331,167,False,"['Consolidated from: Morfologia CBC (RBC), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RBC)']",PCOS,rbc_10_6_uL,,False,,,keep,False,False,True
rdw_percent,RDW,float64,%,[],False,,,,"['Morfologia CBC (RDW)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDW)', 'RDW %']",,,990,1331,58,False,"['Consolidated from: Morfologia CBC (RDW), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDW), RDW %']",,rdw_percent,,False,,,keep,False,False,True
rdwsd_fL,RDW,float64,fL,[],False,,,,"['Morfologia CBC (RDWSD)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDWSD)']",,,945,1331,134,False,"['Consolidated from: Morfologia CBC (RDWSD), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDWSD)']",PCOS,rdwsd_fL,,False,,,keep,False,False,True
shbg_nmol_l,SHBG,float64,nmol/L,[],False,,,,"['SHBG nmol/l', 'SHBG (L_SHGB)']",,,1211,1331,771,False,"['Consolidated from: SHBG nmol/l, SHBG (L_SHGB)']",,shbg_nmol_l,,False,,,keep,False,False,True
testosterone_ng_ml,Testosterone_Total,float64,ng/mL,[],False,,,,"['testosteron ng/ml', 'Testosteron (L_TESTOS)']",,,1212,1331,575,False,"['Consolidated from: testosteron ng/ml, Testosteron (L_TESTOS)']",,testosterone_ng_ml,,False,,,keep,False,False,True
testosterone_free_nmol_L,Testosterone_Total,float64,nmol/L,[],False,,,,"['Testosteron wolny (O41) (TEST-F)', 'Wolny testosteron (O41.W)']",,,1115,1331,513,False,"['Consolidated from: Testosteron wolny (O41) (TEST-F), Wolny testosteron (O41.W)']",PCOS,testosterone_free_nmol_L,,False,,,keep,False,False,True
tsh_uIU_mL,TSH,float64,μIU/mL,[],False,,,,"['TSH (TSH)', 'TSH uIU/ml']",,,1213,1331,421,False,"['Consolidated from: TSH (TSH), TSH uIU/ml']",,tsh_uIU_mL,,False,,,keep,False,False,True
wbc_10_3_uL,WBC,float64,10^3/uL,[],False,,,,"['Morfologia CBC (WBC)', 'Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (WBC)', 'WBC 10^3/uL']",,,990,1331,466,False,"['Consolidated from: Morfologia CBC (WBC), Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (WBC), WBC 10^3/uL']",,wbc_10_3_uL,,False,,,keep,False,False,True
